window_id,train_start,train_end,test_start,test_end,sharpe,ann_return,ann_vol,max_drawdown,hist_var_95,hist_es_95,turnover,w_AAPL,w_ABT,w_BAC,w_CVX,w_GS,w_INTC,w_JNJ,w_JPM,w_KO,w_MCD,w_MSFT,w_PFE,w_PG,w_WMT,w_XOM
24,2011-01-05,2014-01-07,2014-01-08,2015-01-07,0.7817927767421211,0.12073822548730098,0.12885540576965387,-0.08990825439874786,0.01306142227915066,0.017668132412894902,0.8205288686020888,0.011215503721510256,0.3890049006726501,6.938893903907228e-17,2.0816681711721685e-17,1.1102230246251565e-16,0.0,0.1572516205241587,0.0,1.5612511283791264e-17,0.0,0.0,0.44252797508168096,0.0,2.7755575615628914e-17,5.204170427930421e-18
25,2011-04-06,2014-04-08,2014-04-09,2015-04-09,0.42116177753622047,0.08257253422177446,0.14857125587496467,-0.10454586565961735,0.018066685013536418,0.02180971945231545,1.440344800875306,3.979984532426517e-17,0.12257597903818826,2.185924291809627e-17,3.3087848426553314e-17,1.665806968095851e-17,4.7877544249149703e-17,0.8774240209618114,8.992033759284871e-18,5.731232057663842e-17,0.0,1.6121445882465722e-17,1.419451105424688e-16,2.9440273531756376e-16,0.0,2.547237609290868e-17
26,2011-07-07,2014-07-09,2014-07-10,2015-07-09,0.5259868731827659,0.09434801565422749,0.14134956485890057,-0.0839015901010184,0.016504912836380222,0.018290916801227255,0.8165461388227936,0.24162363423169916,0.2880856700664466,0.0,3.729655473350135e-17,0.0,0.0,0.46915095155041514,0.0,0.0,0.0,0.001139744151439321,9.020562075079397e-17,0.0,2.3418766925686896e-17,0.0
27,2011-10-05,2014-10-07,2014-10-08,2015-10-07,-0.027786498429537492,0.015046039103878368,0.17828662032544626,-0.14679958479559635,0.017888743993992557,0.026815731768756505,1.1847297582184606,0.1255347172530355,0.13693828252211118,0.3565529296736089,1.9949319973733282e-17,0.0,0.0,0.14402237696418374,0.0,0.0,7.171997370991612e-17,0.13479463902386865,0.1021570545631919,0.0,3.10623922417097e-17,3.415236843329339e-18
28,2012-01-05,2015-01-07,2015-01-08,2016-01-07,-0.38270043655456853,-0.059422186712001036,0.2075309540301536,-0.1572752473450344,0.021005128708286216,0.030428917558499143,0.5096209185123757,0.12236726381159174,0.07602805015582013,0.5903814647107102,0.0,0.0,0.0,0.1650043011832703,3.361026734705064e-17,0.0,0.0,0.04621892013860768,1.508396272470458e-17,0.0,0.0,0.0
29,2012-04-05,2015-04-09,2015-04-10,2016-04-08,-0.15032208177414175,-0.006133347839668193,0.17384902822558815,-0.1501030741579845,0.01782796460091446,0.02402647157929575,1.4786571033938964,3.643728731612333e-18,0.23553423941554275,0.019639096963961176,1.1851407329137307e-16,0.021296655939118923,6.298129648098947e-17,0.35762875785495024,6.651363444467592e-17,7.499560529677943e-17,5.53397614488378e-17,2.456802225715395e-17,0.3659012498264264,5.83891188152024e-17,0.0,6.779307546579414e-17
30,2012-07-06,2015-07-09,2015-07-10,2016-07-08,-0.8408486790611944,-0.20855679239554434,0.271816794238625,-0.3193347676648538,0.030990823068002278,0.04098480609940702,1.8887032442280667,2.3327574150182063e-17,7.587309603526629e-17,0.015495478032487197,5.165191498034215e-17,0.6669320583383364,2.4308679874230006e-17,0.0,0.298716219714816,5.481707762458789e-17,0.0,5.976552462783518e-18,0.018856243914360204,3.1166589492828894e-17,6.484881615732748e-17,3.223660759216026e-17
31,2012-10-04,2015-10-07,2015-10-08,2016-10-06,0.8193899610608906,0.17246643755648125,0.18607310900669397,-0.1857302594517664,0.01775068231180223,0.02657341014206092,1.707513777726865,1.2209581246448587e-16,5.5098064316227134e-17,0.23268898542706523,0.0,0.0,0.09716565365176541,0.25798391302668977,0.11189138918972011,9.658503636116398e-17,8.532192069072293e-18,0.2685398357874549,0.03173022291730445,7.389138153675217e-17,0.0,0.0
32,2013-01-08,2016-01-07,2016-01-08,2017-01-06,1.023125789390693,0.20170178029780156,0.17759476123631834,-0.08928146806700488,0.015686013178698766,0.026400739974676866,0.8476235940335238,3.9445230771378966e-18,0.0,0.0,1.0014101500737062e-16,3.171338734034767e-17,0.13179865180150996,0.21048271354401793,1.047279823356549e-17,7.628970391379639e-18,2.0816681711721685e-17,0.657718634654472,0.0,0.0,1.2117808777743909e-17,0.0
33,2013-04-10,2016-04-08,2016-04-11,2017-04-07,1.6113751791852078,0.2404057258305865,0.13678113492877245,-0.12382534886561206,0.012041775668104583,0.02102486991448161,0.8149601237682991,0.4074800618841495,1.3877787807814457e-17,0.0,3.469446951953614e-18,0.0,0.047926284136802964,0.10246463117439042,5.572799166575493e-17,3.9898639947466563e-17,0.0,0.4421290228046572,4.5102810375396984e-17,2.42861286636753e-17,0.0,0.0
34,2013-07-10,2016-07-08,2016-07-11,2017-07-10,1.8846938998134173,0.2080804729289586,0.09979364443088597,-0.05967295007111329,0.010337379989271095,0.014487314344490177,0.8710579811597051,0.31544874365197834,0.0,2.5153490401663703e-17,1.4289784633358948e-16,2.2876665839444144e-17,0.16880800112180433,0.4171119047692415,5.637851296924623e-18,0.0,0.0,0.09863135045697594,0.0,0.0,0.0,8.673617379884035e-18
35,2013-10-08,2016-10-06,2016-10-07,2017-10-06,1.7761488308996003,0.21227555729097913,0.10825419239523874,-0.057244412371140384,0.011770952760185326,0.016561222042069692,0.6528211131062823,0.24143977030933322,2.1263915107871956e-17,0.0,0.0,0.0,0.2946161692416023,0.16471032155874563,1.2807138162485021e-17,4.269046054161674e-18,0.0,0.29923373889031907,0.0,3.889575293791747e-18,0.0,0.0
