date,AAPL,ABT,BAC,CVX,GS,INTC,JNJ,JPM,KO,MCD,MSFT,PFE,PG,WMT,XOM
2008-10-29,0.0,0.021887448462864376,6.516264342155941e-17,0.0,8.508789855637095e-17,0.0,0.0,0.0,6.780830660678873e-18,3.938826936597827e-17,5.552548422310332e-17,0.0,0.0,0.9781125515371355,1.802710246823769e-17
2008-10-30,8.155725919339398e-18,0.05257977755495,5.91735424896555e-17,1.0787424164770131e-16,4.522721465928293e-17,6.063316329010157e-18,0.0,2.480593114329539e-17,1.1158964053966701e-16,0.0,0.0,9.772954887885247e-17,9.190920472929598e-17,0.9474202224450495,1.1903385867404288e-16
2008-10-31,5.075737049609985e-17,5.689893001203927e-16,0.0,0.0,0.0,1.6210203831602684e-17,0.0,0.0,1.1022080073384392e-16,0.0,7.318762952826674e-17,6.796030298692621e-17,0.0,0.9999999999999999,7.236946233194637e-18
2008-11-03,0.0,0.02009591967003682,0.0,2.9054933075982647e-17,0.0,0.0,3.5564033948643354e-16,0.0,2.641952943080558e-17,2.1249245063402448e-16,0.0,5.1722609324274245e-17,7.717607986871362e-17,0.9799040803299626,1.0600961177880036e-17
2008-11-04,0.0,0.024236277450135985,7.704041019078467e-17,4.696478199655881e-17,4.902978798812627e-17,0.0,1.8525403492877648e-16,3.1925922072220196e-17,0.0,2.78537829363935e-17,0.0,0.0,4.416005350120297e-17,0.9757637225498639,7.933002486666492e-17
2008-11-05,0.0,0.0782769606139179,0.0,2.665361589886451e-17,0.0,9.240771503245724e-18,5.77068115495171e-17,0.0,3.283777756010896e-17,7.476354214978793e-17,5.776697337955919e-17,3.5648334537177915e-17,0.0,0.921723039386082,1.6315646930231943e-17
2008-11-06,0.0,0.03735108277743606,0.0,0.0,0.0,0.0,1.20878867524931e-16,0.0,5.603195348149577e-17,1.8673983552125945e-16,0.0,0.0,2.166539298250376e-17,0.9626489172225642,0.0
2008-11-07,2.1067677667146066e-17,0.0390833989734187,3.076068592629663e-17,0.0,5.3536170822723465e-17,0.0,2.74990021932122e-16,8.426038691530872e-18,0.0,1.7062592318133977e-16,1.7497168639601035e-17,0.0,1.235849688479844e-17,0.960916601026581,0.0
2008-11-10,0.0,6.938893903907228e-17,0.0,1.1416735067251982e-16,0.0,0.0,5.662779958269114e-17,1.7140908099679866e-17,1.255898873249575e-16,0.0,0.0,0.0,0.0,1.0,4.986919449660032e-17
2008-11-11,0.0,3.469446951953614e-16,0.0,0.0,1.554716636394943e-17,0.0,1.0056416494273828e-16,0.0,0.0,1.7822146224711261e-16,0.0,0.0,1.5028345805717528e-16,0.9999999999999998,0.0
2008-11-12,6.029502197748114e-17,0.17883435821969343,0.0,0.0,0.0,1.1506677572592418e-16,0.0,1.2855869988811634e-17,0.0,2.574750138424627e-16,9.964094180784975e-17,0.0,0.0,0.8211656417803072,1.77969427187083e-17
2008-11-13,5.199192698494057e-18,0.2777938645733962,5.473049875295077e-17,2.3031746397188923e-18,9.9331628806952e-18,0.0,0.0,0.0,1.6302587160850443e-17,0.0,0.0,1.1811113091194387e-16,0.0,0.7222061354266041,2.6789075526825505e-17
2008-11-14,1.2348265434268419e-17,0.2605519325952792,6.347640263672456e-17,3.405134712972093e-17,4.089880918749474e-17,3.567020350934894e-17,6.40897798574921e-17,0.0,7.772648635503481e-17,1.625198760128778e-16,0.0,4.8021301579251623e-17,0.0,0.7394480674047205,2.879268218719204e-17
2008-11-17,0.0,0.3043405201542687,0.0,0.0,1.0170231532771588e-17,0.0,0.0,0.0,7.777232777124792e-18,0.0,1.3229744898403015e-17,0.0,0.0,0.6956594798457321,7.791629401165926e-18
2008-11-18,5.3592677315801605e-17,0.2768792859453905,1.366820705944421e-16,0.0,0.0,7.05605723241071e-17,5.1495229507389134e-17,0.0,1.0275019200717528e-17,0.0,4.076142922036651e-17,6.811900038676442e-19,3.362986389304141e-16,0.723120714054609,4.856798312193181e-17
2008-11-19,0.0,0.21881591324209299,9.974683585118697e-17,0.0,4.243772832966215e-17,0.0,1.3833133027876843e-16,3.0605490056974707e-17,0.0,0.0,0.0,0.0,1.8576987879190457e-16,0.781184086757907,0.0
2008-11-20,0.0,1.8041124150158794e-16,6.01351409828314e-17,0.0,1.6060046683299072e-17,0.0,7.44960624200011e-17,0.0,0.0,1.8326375900197224e-16,0.0,0.0,1.2264373667878305e-16,0.9999999999999999,0.0
2008-11-21,9.16914584367899e-17,4.0245584642661925e-16,2.1508464035990652e-17,0.0,4.879536161862546e-17,8.480799996380544e-17,5.3563621764894606e-17,7.254866711820316e-17,2.2473340295228988e-17,0.0,4.716140901511278e-17,2.9572760321998668e-18,5.769927305993533e-18,0.9999999999999999,0.0
2008-11-24,0.0,6.765421556309548e-17,0.0,0.0,0.0,0.0,0.0,0.0,6.979739097278518e-17,7.04338460597252e-18,0.0,8.243698980472097e-18,5.507297998701283e-17,1.0,7.299754240977619e-17
2008-11-25,0.0,1.3255309653433275e-16,0.0,0.0,1.6283067663369016e-17,0.0,5.975732443686405e-18,0.0,6.16414498232299e-18,1.3877787807814457e-17,0.0,0.0,0.0,1.0,0.0
2008-11-26,0.0,1.1050033295329148e-16,0.0,0.0,0.0,0.0,0.0,4.85347191458056e-17,0.0,3.122502256758253e-16,4.740023428417758e-17,7.393465902175795e-17,0.0,0.9999999999999999,0.0
2008-11-28,1.66385513144108e-17,0.0,0.0,5.1018844828889124e-17,1.2928326051292139e-17,2.4922099197209442e-17,0.0,3.573115310939686e-17,6.955231866275735e-17,0.0,0.0,0.0,0.0,1.0,0.0
2008-12-01,6.83115465553557e-17,1.2065828907881738e-16,2.7285710724880478e-17,0.0,6.264937726561623e-17,8.647049058057807e-17,8.050062650757577e-17,1.6747643872050692e-17,0.0,0.023538888767225583,3.394887887357587e-17,0.0,1.007449598517105e-16,0.9764611112327742,0.0
2008-12-02,7.371900992882172e-17,0.013346130767914965,2.7059012331680944e-17,0.0,2.6501110999387475e-17,5.590524670992698e-17,2.2583926528553513e-16,5.474974053774995e-17,0.0,0.0,3.3210966510163374e-17,0.0,1.7290346325164842e-16,0.986653869232085,0.0
2008-12-03,0.0,0.00884831127374962,8.573316767220169e-18,0.0,0.0,0.0,1.0829722175863248e-16,3.776030937844827e-18,0.0,0.05587733806328723,0.0,7.128136365001124e-18,1.8579702330794274e-16,0.935274350662963,0.0
2008-12-04,2.363227718537771e-19,1.4145604241423276e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1631700900218554,0.0,4.226653720128318e-17,0.0,0.8368299099781453,0.0
2008-12-05,3.304233136137098e-17,0.0,0.0,0.0,0.0,4.842589022738971e-17,0.0,7.603986216702065e-17,1.143652630347854e-16,0.07822483574709521,3.237981140038334e-17,2.7658109291102502e-17,0.0,0.9217751642529048,0.0
2008-12-08,0.0,2.705731209154667e-16,3.4922394390478715e-18,0.0,0.0,0.0,0.0,0.0,7.153876646249682e-17,0.00263776780370098,1.8936110170830975e-17,0.0,3.1813723680956506e-16,0.9973622321962986,3.405195440410515e-17
2008-12-09,4.0051060385914304e-17,0.0,0.0,6.371329163319747e-17,0.0,4.9245929409928165e-17,7.718727659025151e-18,3.8522218184467506e-17,0.0,1.8041124150158794e-16,4.1723664721907853e-17,4.834684064801085e-17,0.0,1.0,0.0
2008-12-10,0.0,1.404079006941115e-16,9.729815033458912e-18,0.0,1.2885526476456022e-17,0.0,0.0,3.2430653075938704e-17,0.0,0.029570698838802062,1.0529202582293135e-18,3.1099613819531714e-17,0.0,0.9704293011611982,0.0
2008-12-11,5.292474066695933e-18,1.2604085881880994e-16,0.0,0.0,0.0,3.608284624660057e-17,0.0,1.4394915981406495e-17,0.0,0.040343359267203255,0.0,0.0,7.688507492933594e-17,0.959656640732797,0.0
2008-12-12,1.3510647340018807e-16,0.0,0.0,0.0,7.166398023627358e-18,1.54717613726441e-16,3.275807255397277e-16,1.8272534973498044e-16,0.0,0.049816937294155844,9.379726990976454e-17,0.0,1.184097076830097e-16,0.9501830627058441,0.0
2008-12-15,2.738543911152372e-17,4.646918655541307e-17,0.0,5.0837487250727097e-17,7.22629846410332e-18,8.127322541686387e-17,0.0,8.605825875794748e-18,3.2895496484577256e-17,0.018268938890057207,3.300685059713559e-17,1.2675228994938081e-18,0.0,0.9817310611099429,0.0
2008-12-16,1.0086848154973049e-17,6.14209698215042e-16,0.0,1.0688633740749232e-16,0.0,6.828552659708826e-17,1.9062180592596385e-16,2.6066441083775813e-17,0.0,0.19700661399159197,3.4301638696844e-17,0.0,7.078678433362812e-17,0.8029933860084071,0.0
2008-12-17,0.0,0.0,1.3467627665555605e-17,0.0,9.401424352762607e-18,0.0,7.043020693157917e-17,0.0,1.01515524086163e-17,0.20872847500045355,0.0,5.697176196347518e-18,0.0,0.7912715249995467,0.0
2008-12-18,3.651637909404695e-17,5.074105233349811e-17,0.0,0.0,1.3386020871637564e-17,4.7798271734046134e-17,2.300117810995977e-17,2.8269541937286347e-17,1.87625991115193e-18,0.1671626981110079,0.0,0.0,8.741665118827051e-19,0.8328373018889923,0.0
2008-12-19,0.0,4.5401896764240317e-17,0.0,1.7718628571101577e-16,0.0,0.0,2.413868199301618e-16,0.0,3.089937979930256e-17,0.08093968055777412,3.215884636135585e-18,0.0,0.0,0.919060319442226,1.577663355734268e-17
2008-12-22,0.0,1.002217844594722e-16,2.1984522559447567e-17,0.0,0.0,0.0,1.618435895433728e-16,0.0,1.9459903239997775e-17,0.08115291528072527,2.501561402011314e-17,0.0,0.0,0.9188470847192747,0.0
2008-12-23,0.0,0.0,0.0,0.0,2.3071191451818355e-17,2.7658532484678076e-17,0.0,1.0685455362320809e-17,5.308882177379347e-18,0.10264853599775388,3.113318261910662e-18,8.71573382283762e-18,2.1766325318023895e-16,0.8973514640022464,3.495035003899039e-19
