lambda,ann_return,ann_vol,sharpe,AAPL,ABT,BAC,CVX,GS,INTC,JNJ,JPM,KO,MCD,MSFT,PFE,PG,WMT,XOM
0.5,0.20094021640070767,0.21579465772595974,0.8384832980742161,0.47970203375189846,0.051633837577588035,0.0,4.336808689942018e-19,0.0,4.336808689942018e-19,0.061705425017058516,0.0,0.003926850750165162,0.40303185290328986,2.168404344971009e-18,1.734723475976807e-18,2.168404344971009e-18,3.903127820947816e-18,4.015783202932638e-18
0.52,0.20094021640070767,0.21579465772595974,0.8384832980742161,0.47970203375189846,0.051633837577588035,0.0,4.336808689942018e-19,0.0,4.336808689942018e-19,0.061705425017058516,0.0,0.003926850750165162,0.40303185290328986,2.168404344971009e-18,1.734723475976807e-18,2.168404344971009e-18,3.903127820947816e-18,4.015783202932638e-18
0.54,0.20094021640070767,0.21579465772595974,0.8384832980742161,0.47970203375189846,0.051633837577588035,0.0,4.336808689942018e-19,0.0,4.336808689942018e-19,0.061705425017058516,0.0,0.003926850750165162,0.40303185290328986,2.168404344971009e-18,1.734723475976807e-18,2.168404344971009e-18,3.903127820947816e-18,4.015783202932638e-18
0.56,0.21187404190334055,0.2287525934072336,0.838784115893633,0.5316561991254786,0.03898393895618847,0.0,0.0,0.0,0.0,0.0,0.0,2.1196152472091612e-17,0.4293598619183329,0.0,0.0,0.0,0.0,0.0
0.58,0.21187404190334055,0.2287525934072336,0.838784115893633,0.5316561991254786,0.03898393895618847,0.0,0.0,0.0,0.0,0.0,0.0,2.1196152472091612e-17,0.4293598619183329,0.0,0.0,0.0,0.0,0.0
0.6,0.21187404190334055,0.2287525934072336,0.838784115893633,0.5316561991254786,0.03898393895618847,0.0,0.0,0.0,0.0,0.0,0.0,2.1196152472091612e-17,0.4293598619183329,0.0,0.0,0.0,0.0,0.0
0.62,0.21187404190334055,0.2287525934072336,0.838784115893633,0.5316561991254786,0.03898393895618847,0.0,0.0,0.0,0.0,0.0,0.0,2.1196152472091612e-17,0.4293598619183329,0.0,0.0,0.0,0.0,0.0
0.64,0.21187404190334055,0.2287525934072336,0.838784115893633,0.5316561991254786,0.03898393895618847,0.0,0.0,0.0,0.0,0.0,0.0,2.1196152472091612e-17,0.4293598619183329,0.0,0.0,0.0,0.0,0.0
0.66,0.21934794968728744,0.23862493306217167,0.8354028518545829,0.5801076399232806,1.3877787807814457e-17,0.0,0.0,0.0,4.336808689942018e-19,9.75781955236954e-19,4.336808689942018e-19,4.336808689942018e-19,0.4198923600767194,4.336808689942018e-19,0.0,0.0,4.336808689942018e-19,0.0
0.68,0.21934794968728744,0.23862493306217167,0.8354028518545829,0.5801076399232806,1.3877787807814457e-17,0.0,0.0,0.0,4.336808689942018e-19,9.75781955236954e-19,4.336808689942018e-19,4.336808689942018e-19,0.4198923600767194,4.336808689942018e-19,0.0,0.0,4.336808689942018e-19,0.0
0.7000000000000001,0.21934794968728744,0.23862493306217167,0.8354028518545829,0.5801076399232806,1.3877787807814457e-17,0.0,0.0,0.0,4.336808689942018e-19,9.75781955236954e-19,4.336808689942018e-19,4.336808689942018e-19,0.4198923600767194,4.336808689942018e-19,0.0,0.0,4.336808689942018e-19,0.0
0.72,0.21934794968728744,0.23862493306217167,0.8354028518545829,0.5801076399232806,1.3877787807814457e-17,0.0,0.0,0.0,4.336808689942018e-19,9.75781955236954e-19,4.336808689942018e-19,4.336808689942018e-19,0.4198923600767194,4.336808689942018e-19,0.0,0.0,4.336808689942018e-19,0.0
0.74,0.21934794968728744,0.23862493306217167,0.8354028518545829,0.5801076399232806,1.3877787807814457e-17,0.0,0.0,0.0,4.336808689942018e-19,9.75781955236954e-19,4.336808689942018e-19,4.336808689942018e-19,0.4198923600767194,4.336808689942018e-19,0.0,0.0,4.336808689942018e-19,0.0
0.76,0.22756038442743398,0.2505367602098709,0.8284627939257994,0.6445939773496248,3.7947076036992655e-18,7.047314121155779e-18,3.0357660829594124e-18,3.54737398310101e-18,4.336808689942018e-18,5.908901840045999e-18,1.463672932855431e-18,2.8189256484623115e-18,0.35540602265037524,5.204170427930421e-18,5.204170427930421e-18,5.204170427930421e-18,5.204170427930421e-18,5.204170427930421e-18
0.78,0.22756038442743398,0.2505367602098709,0.8284627939257994,0.6445939773496248,3.7947076036992655e-18,7.047314121155779e-18,3.0357660829594124e-18,3.54737398310101e-18,4.336808689942018e-18,5.908901840045999e-18,1.463672932855431e-18,2.8189256484623115e-18,0.35540602265037524,5.204170427930421e-18,5.204170427930421e-18,5.204170427930421e-18,5.204170427930421e-18,5.204170427930421e-18
